Latest available 2017 data is November  
DEST,Description,N/A(PCT_ONTIME_ARR)
"SAT","San Antonio, TX: San Antonio International",80.3500
"SAV","Savannah, GA: Savannah/Hilton Head International",81.2600
"SBA","Santa Barbara, CA: Santa Barbara Municipal",74.4400
"SBN","South Bend, IN: South Bend International",80.1100
"SBP","San Luis Obispo, CA: San Luis County Regional",74.4100
"SCC","Deadhorse, AK: Deadhorse Airport",85.4400
"SCE","State College, PA: University Park",80.4000
"SDF","Louisville, KY: Louisville International-Standiford Field",81.4400
"SEA","Seattle, WA: Seattle/Tacoma International",80.5100
"SFO","San Francisco, CA: San Francisco International",68.1800
"SGF","Springfield, MO: Springfield-Branson National",81.7100
"SGU","St. George, UT: St George Regional",89.9500
"SHV","Shreveport, LA: Shreveport Regional",80.3400
"SIT","Sitka, AK: Sitka Rocky Gutierrez",87.2300
"SJC","San Jose, CA: Norman Y. Mineta San Jose International",80.3700
"SJT","San Angelo, TX: San Angelo Regional/Mathis Field",81.8600
"SJU","San Juan, PR: Luis Munoz Marin International",74.7000
"SLC","Salt Lake City, UT: Salt Lake City International",86.1400
"SMF","Sacramento, CA: Sacramento International",79.0900
"SNA","Santa Ana, CA: John Wayne Airport-Orange County",81.2900
"SPI","Springfield, IL: Abraham Lincoln Capital",81.3000
"SPS","Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal",77.7400
"SRQ","Sarasota/Bradenton, FL: Sarasota/Bradenton International",84.4100
"STL","St. Louis, MO: St Louis Lambert International",81.4500
"STS","Santa Rosa, CA: Charles M. Schulz - Sonoma County",68.5400
"STT","Charlotte Amalie, VI: Cyril E King",75.7900
"STX","Christiansted, VI: Henry E. Rohlsen",75.1800
"SUN","Sun Valley/Hailey/Ketchum, ID: Friedman Memorial",74.2800
"SUX","Sioux City, IA: Sioux Gateway/Col. Bud Day Field",71.4300
"SWF","Newburgh/Poughkeepsie, NY: Stewart International",73.4600
"SYR","Syracuse, NY: Syracuse Hancock International",77.4600
"TLH","Tallahassee, FL: Tallahassee International",84.4200
"TOL","Toledo, OH: Toledo Express",65.0200
"TPA","Tampa, FL: Tampa International",79.8500
"TRI","Bristol/Johnson City/Kingsport, TN: Tri Cities",78.5100
"TTN","Trenton, NJ: Trenton Mercer",76.4500
"TUL","Tulsa, OK: Tulsa International",81.1200
"TUS","Tucson, AZ: Tucson International",78.6800
"TVC","Traverse City, MI: Cherry Capital",76.3600
"TWF","Twin Falls, ID: Joslin Field - Magic Valley Regional",90.0000
"TXK","Texarkana, AR: Texarkana Regional-Webb Field",73.3300
"TYR","Tyler, TX: Tyler Pounds Regional",71.9300
"TYS","Knoxville, TN: McGhee Tyson",76.6800
"UST","St. Augustine, FL: Northeast Florida Regional",56.0600
"VLD","Valdosta, GA: Valdosta Regional",79.7000
"VPS","Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",83.8700
"WRG","Wrangell, AK: Wrangell Airport",80.4800
"WYS","West Yellowstone, MT: Yellowstone",81.9000
"XNA","Fayetteville, AR: Northwest Arkansas Regional",79.7500
"YAK","Yakutat, AK: Yakutat Airport",84.6400
"YUM","Yuma, AZ: Yuma MCAS/Yuma International",87.0400
"All Rows","All Rows (including those not displayed)",80.1700
